Omnibus:,7.844,Durbin-Watson:,1.995
Prob(Omnibus):,0.02,Jarque-Bera (JB):,7.808
Skew:,0.341,Prob(JB):,0.0202
Kurtosis:,3.093,Cond. No.,6.24
